,id,question_stem,choices,answerKey,fact1,humanScore,clarity,turkIdAnonymized
3125,12-868,"If a rabbit hears a distant sound clearly, it can be attributed to its","{'text': array(['sensitive nose', 'soft fur', 'elongated ears', 'long feet'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,long ears are used for releasing heat by a jackrabbit,1.0,2.0,b356d338b7
3126,12-869,which of these has the most similar component as the earth itself?,"{'text': array(['the stone in the yard', 'a loaf of bread', 'a can of soup',
       'a glass of water'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,Earth is made of rock,1.0,1.6,cf7109905e
3127,12-870,"if the local forest is cut down, which one of these animal's habitat might be affected?","{'text': array(['a student living in a townhouse', 'a man who lives in the city',
       'a dog who lives in a pound', 'a rabbit who lives in a hole'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,some rabbits live in forests,1.0,2.0,cf7109905e
3128,12-872,A shock running through a wire will,"{'text': array(['send sand through the wire', 'send water through the wire',
       'send smoke through a town', 'send reactions through the wire'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,sending electricity through a conductor causes electric current to flow through that conductor,1.0,2.0,b356d338b7
3129,12-873,"When a lady beetle is grown up, she may spend time","{'text': array(['laying a clutch', 'making a memory', 'making friends',
       'seeing the sights'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a female insect lays eggs during the adult stage of an insect 's life cycle,0.8,2.0,b356d338b7
3130,12-874,Hitting the brakes hard leaves rubber on the road due to,"{'text': array(['the sun', 'abrasion', 'plastic tires', 'metal roadways'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,skidding causes friction,1.0,2.0,dc78319bb0
3131,12-875,a complete lunar cycle takes about,"{'text': array(['a month', 'a year', 'a week', 'a day'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a revolution of the moon around the Earth takes 1 month,0.8,1.6,9cc91104fa
3132,12-876,If crops are rotated then the crops planted would look like,"{'text': array(['tomato, tomato, tomato, tomato', 'beans, corn, peas, cucumbers',
       'beans, beans, beans, beans', 'corn, corn, corn, corn,'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,crop rotation is when different crops are planted on a field in different years,0.8,2.0,b356d338b7
3133,12-878,Which is likeliest to metamorphose?,"{'text': array(['a live insect', 'a human', 'a plant', 'a dead butterfly'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,metamorphosis is a stage in the life cycle process of some animals,0.8,1.8,7b06152ffc
3134,12-881,A bean sprout will beautifully boom if given plenty of access to,"{'text': array(['salted dirt', 'H2O', 'sticky napkins', 'searing heat'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,a plants require water for to grow,1.0,2.0,b356d338b7
3135,12-882,A filament that is in a glass container will be this when a switch is flipped to cause glass to glow:,"{'text': array(['dark', 'toasty', 'cold', 'icy'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,an incandescent light bulb converts electricity into heat by sending electricity through a filament,0.8,1.4,b356d338b7
3136,12-883,A bear in the arctic can go a long time without eating,"{'text': array(['if it is focused', 'if it is determined', 'if it is working',
       'if it has excess chub'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,an animal can survive in an environment with little food by storing fat,1.0,2.0,b356d338b7
3137,12-884,"If a thing is electrically insulated, then it is","{'text': array(['wood inside, metal inside', 'a random mixture of materials',
       'metal inside, metal outside',
       'metal inside, other material outside'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,electrical insulation requires wrapping a conductor in an insulator,0.8,1.6,b356d338b7
3138,12-886,Rising air pressure means that I should bring,"{'text': array(['black holes', 'sunblock', 'time travel', 'magic'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"as altitude increases , air pressure will decrease",1.0,2.0,cee82219a0
3139,12-887,A source of pollution might be,"{'text': array(['recycling glass and plastic', 'creating a new use for old glass',
       'throwing plastic in the pacific',
       'finding a new use for old clothes'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,fertilizers are a source of pollution,1.0,2.0,cee82219a0
3140,12-888,Rain can damage,"{'text': array(['happiness', 'the carpet', 'love', 'Space'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,An example of stormy weather is rain,1.0,2.0,cee82219a0
3141,12-889,Battery powered vehicles have less emissions than,"{'text': array(['lawnmowers', 'wind turbines', 'solar power', 'dragsters'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,electricity causes less pollution than gasoline,1.0,1.6,dc78319bb0
3142,12-890,If an organism is existing then it is made up of,"{'text': array(['cola', 'life material', 'soil', 'sap'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,an organism is a source of organic matter,1.0,1.8,b356d338b7
3143,12-891,Which would an ecologically minded individual most support?,"{'text': array(['oil', 'gas', 'fracking', 'windmills'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,wind is a renewable resource,1.0,2.0,7b06152ffc
3144,12-892,Which is the most likely scenario,"{'text': array(['squirrels save nuts when summer is hotter than the current season',
       'squirrels never save food',
       'squirrels eat when it rains outside only',
       'squirrels save nuts when humans make them'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"when available resources decrease in an environment , organisms have to conserve those resources",1.0,1.6,7b06152ffc
3145,12-893,Recycling products such as papers can help the environment to,"{'text': array(['demolish', 'heal', 'fall apart', 'be destroyed'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,recycling has a positive impact on the environment,1.0,2.0,b356d338b7
3146,12-896,If a flashlight is having difficulty working a person should check,"{'text': array(['the bottom hook', 'the energy hole', 'the glass window',
       'the solar flares'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,a flashlight requires a source of electricity to produce light,1.0,0.6,b356d338b7
3147,12-897,If a kitten is unable to nurse from birth,"{'text': array(['it will expire', 'sleep', 'decide to leave', 'it will laugh'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a mammal usually nurses its offspring,1.0,2.0,52dbc5c7af
3148,12-898,A plane taking off from an airport will seem what as it flies away,"{'text': array(['empty', 'smaller', 'the same', 'bigger'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"as distance to an object increases , that object will appear smaller",1.0,1.8,dc78319bb0
3149,12-899,If a person is lacking a skeletal system they are,"{'text': array(['thrilled', 'muscular', 'kind', 'spineless'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,skeletal system is made of bones,1.0,2.0,b356d338b7
3150,12-900,A carp and a platypus share all attributes aside from,"{'text': array(['blood heating ability', 'egg laying', 'having mouths',
       'having tails'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a mammal is warm-blooded,0.8,1.4,b356d338b7
3151,12-903,"if a tree fell down and dried with a hole in it, which of these would likely be in it?","{'text': array(['A two hundred pound lion', 'a great white shark',
       'a striped tail nut eater', 'a wild female antelope'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,some raccoons live in hollow logs,0.8,1.8,cf7109905e
3152,12-904,The running and moving liquid fluid during a storm causes what,"{'text': array(['insects', 'weather damage', 'abrasion', 'lava'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,erosion of soil has a negative impact on the environment,1.0,1.6,52dbc5c7af
3153,12-906,Which of the following is correct?,"{'text': array([""The earth's strong gravitational pull causes a waxing gibbous to form"",
       'astrology causes a waxing gibbous to form',
       'star maps cause a waxing gibbous to form',
       'government satellites cause a waxing gibbous to form'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,the moon orbiting the Earth causes the phases of the moon,1.0,1.6,7b06152ffc
3154,12-907,"If you miss seeing a full moon, how long will you have to wait until you get another chance?","{'text': array(['7 days', 'a month', 'a week', '168 hours'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,each of the moon 's phases usually occurs once per month,1.0,1.8,7c933a44d8
3155,12-910,the contents of which of these will attract a natural honey producer to it?,"{'text': array(['a tree bark', 'a tree trunk', 'a colorful hibiscus',
       'a green leaf'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,nectar is used for attracting pollinators by plants,1.0,2.0,cf7109905e
3156,12-911,which of these need to be present for a tectonic plate movement,"{'text': array(['a pool of molten lava', 'an ocean with fish',
       'a river flowing north', 'a crack in the core'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,a tectonic plate moves along a fault line,0.8,1.6,cf7109905e
3157,12-912,Hitting a spider web with your hand makes it impossible for a spider to,"{'text': array(['play music', 'eat', 'fly', 'watch TV'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,a spider web is used to capture food by spiders,1.0,2.0,bdb4135787
3158,12-913,To look at an eclipse you might be able to use,"{'text': array(['nothing', 'telescope', 'Plain old sunglasses', 'a box'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,looking directly at an eclipse of the Sun causes harm to the eyes,0.8,1.0,cee82219a0
3159,12-914,Why did the chicken cross the road?,"{'text': array(['to side with the foxes',
       'to be made into chicken of the sea tuna fish',
       'their habitat was flooded',
       'because they crossed an evil sorcerer'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,if a habitat can no longer support animals then those animals will move to another area,1.0,0.8,7c933a44d8
3160,12-915,"if a person used a knife to repeatedly scrape an object, what will happen?","{'text': array(['the object will decrease in size',
       'the object will become liquid',
       'the object will increase in size', 'the object will change color'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,scraping an object may cause small particles to break off of that object,1.0,2.0,cf7109905e
3161,12-916,Which is likely to cause changing weather in a specific location?,"{'text': array(['delogging', 'human campers', 'rabbit mating', 'pet hamsters'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,climate is the usual kind of weather in a location,1.0,1.6,7b06152ffc
3162,12-917,Oil platforms originating from a number of oceanic placements can be related to an unintentional release of what?,"{'text': array(['oil pumps', 'nuclear fission', 'biological created fuel',
       'solar energy'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,offshore oil platforms might cause oil to leak into the water,0.8,1.8,52dbc5c7af
3163,12-918,Echolocation is when animals detect objects by hearing echos using what?,"{'text': array(['smell', 'vision', 'sight', 'screeching'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,echolocation is when some animals detect objects by hearing echoes by emitting sound,1.0,2.0,1e6dc77bb6
3164,12-919,What can be renewed?,"{'text': array(['plastics', 'leather', 'coal', 'diesel'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,a renewable resource can be renewed,0.8,1.6,78e0a411ed
3165,12-922,If a seed is planted and it develops into a large tomato plant,"{'text': array(['the seed came from a cucumber',
       'the seed came from something red', 'the seed came from a tree',
       'the seed came from a bird'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,the type of seed of a plant is an inherited characteristic,0.8,1.6,b356d338b7
3166,12-923,"If a thing that was huge and hard is suddenly pooling at your feet,","{'text': array(['it is brick', 'it was warmed', 'it is froze', 'it is oak'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,melting means changing from a solid into a liquid by adding heat energy,0.8,1.6,b356d338b7
3167,12-925,What would be removed via the kidneys?,"{'text': array(['bacteria', 'organs', 'blood', 'skin'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,the kidney removes byproducts from the blood,0.8,1.2,7b06152ffc
3168,12-928,"if a toy car needed to be measured for its content capacity, which of these might help?","{'text': array(['an aluminum coated barometer', 'a metal wind vane',
       'a mercury filled thermometer',
       'a cylinder with standardized markings'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,a graduated cylinder is a kind of instrument for measuring volume of liquids or objects,1.0,2.0,cf7109905e
3169,12-929,"If a person is blind and needs to know the color of a sign, they","{'text': array(['have someone describe it', 'fill out a form', 'are out of luck',
       'make a best guess'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,the color of an object can be discovered by looking at that object,1.0,2.0,b356d338b7
3170,12-930,How do bats avoid crashing into trees while flying around at night?,"{'text': array(['they wander around aimlessly lost',
       'they bounce their screams off of things',
       'they ask someone where to go', 'they see with their eyes'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,sonar is used to find the location of an object,1.0,2.0,0317ce7c33
3171,12-931,"If a white bear lives in a space and is going to flourish, the space should mostly","{'text': array(['match his fur color', 'have a warm climate', 'be dark and humid',
       'be green and leafy'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a polar bear requires a cold environment,0.8,1.4,b356d338b7
3172,12-932,An example of a disperser could be,"{'text': array(['Playing outside all alone',
       'Running around with my hands in the air.',
       'giving out an even amount of Fruit Loops to each of my classmates',
       'Taking all the Fruit Loops to myself'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,a disperser disperses,1.0,2.0,cee82219a0
3173,12-934,A thermal insulator slows the transfer of what?,"{'text': array(['warmness', 'light', 'energy', 'liquid'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a thermal insulator slows the transfer of heat,1.0,2.0,1e6dc77bb6
3174,12-935,Who is most likely to get a job at a lumber yard?,"{'text': array(['deep sea divers', 'liberal art majors', 'sawyers', 'astronauts'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,timber companies cut down trees,1.0,1.6,7c933a44d8
3175,12-936,"If someone wants to see if breath is moist, they can","{'text': array(['watch some grass grow', 'breathe on a tissue', 'hold in a sneeze',
       'look at paint dry'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,breath contains water vapor,1.0,2.0,b356d338b7
3176,12-937,If I wanted to create noise I could,"{'text': array(['tap a chopstick on a pillow',
       'stand completely and utterly still', 'hold in a fart',
       'remain completely and utterly silent'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,matter vibrating can cause sound,1.0,2.0,cee82219a0
3177,12-938,"If a person is dehydrated in a desert without water sources like rivers or ponds, they can hydrate by","{'text': array(['cracking open peyote', 'staring at sand', 'eating a pebble',
       'licking a rock'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a cactus stem is used for storing water,1.0,1.4,b356d338b7
3178,12-940,If a high percentage of water is visible in the air?,"{'text': array(['this is called heat and it is unsafe to drive in',
       'this is called fog and it is safe to drive in',
       'this is called heat and is safe to drive in',
       'this is called fog and is unsafe to drive in'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,fog is formed by water vapor condensing in the air,0.8,2.0,7b06152ffc
3179,12-941,Iron can be found on,"{'text': array(['rocky areas', 'ants', 'wizards', 'unicorns'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,rocks sometimes contain iron,1.0,1.8,cee82219a0
3180,12-942,A person with a pet amphibian will likely feed it,"{'text': array(['meal worms', 'deer', 'steak', 'wax'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a frog eats insects,1.0,2.0,b356d338b7
3181,12-944,A quartz crystal is a transparent,"{'text': array(['magic producer', 'power source', 'deodorant', 'hexagon'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,a quartz is made of six-sided transparent crystals,0.8,0.4,dc78319bb0
3182,12-945,A person who plants in their garden may switch between planting beets and cucumbers in order to,"{'text': array(['clean up dirt', 'make dirt healthier', 'remove dirt molecules',
       'make dirt green'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,crop rotation has a positive impact on soil quality,1.0,1.6,b356d338b7
3183,12-947,Where is the best place to shoot animals?,"{'text': array(['national park', 'sky', 'sea', 'forest'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,national parks limit hunting,1.0,0.8,52dbc5c7af
3184,12-948,which of these days would lead to a suspension of regular activities?,"{'text': array(['a very sunny day', 'a very beautiful day', 'a very bright day',
       'a day with a blizzard'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,snowy means a large amount of snow,1.0,2.0,cf7109905e
3185,12-949,One of the main things that can negatively impact organism health is,"{'text': array(['singing', 'nothing', 'walking', 'falling ill'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,illness has a negative impact on an organism 's health,1.0,2.0,bdb4135787
3186,12-950,Where might you find some animals being held outside of nature?,"{'text': array(['under the deep sea', 'up into the sky', 'deep into the earth',
       'artificial habitats in captivity'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,some animals live in zoo exhibits,1.0,1.8,0317ce7c33
3187,12-951,What anchors plants into the soil are called,"{'text': array(['a form of webbing', 'Velcro with extra grip',
       'the same as an american television miniseries about slavery',
       'large anchors made of metal'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,roots anchor plants into the soil,0.8,1.4,78e0a411ed
3188,12-953,Hotter blood is rarely found,"{'text': array(['in horny toads', 'in rats', 'in humans', 'in bears'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a reptile is cold-blooded,1.0,1.6,7b06152ffc
3189,12-954,A car running on a resource that will someday cease existing uses,"{'text': array(['dino remains', 'water power', 'solar power', 'electricity'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,natural gas is a nonrenewable resource,1.0,1.8,b356d338b7
3190,12-955,"Bringing a stray dog to live at your house when it lived outside all its life will be hard for it at first, but eventually, it will","{'text': array(['fly away', 'start talking', 'get acclimated', 'tell jokes'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,animals adapt to their environment,1.0,2.0,bdb4135787
3191,12-957,"If a person is making laps around a gym, they find that","{'text': array(['they are about to be born', 'they are gaining weight',
       'their heart starts racing', 'they are getting fatter'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"as energy required for an activity increases , pulse will increase",1.0,2.0,b356d338b7
3192,12-958,I found an impression of bird's feet in a rock,"{'text': array(['monkeys carved the footprints into the rock',
       'the rock is made of soft mud',
       'a very heavy bird was walking on the rock',
       'the substance that was walked in became hard after a very long time'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,An example of a fossil is a footprint in a rock,1.0,2.0,3f32b550f3
3193,12-959,What are the source of fruit?,"{'text': array(['wood', 'plant diagrams', 'green life', 'housing'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,plants are the source of fruit,1.0,1.6,1e6dc77bb6
3194,12-960,What is oil likely comprised of?,"{'text': array(['homo sapiens', 'air', 'soil', 'brontosaurus'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,fossil fuels are formed by dead organisms over time,1.0,2.0,7b06152ffc
3195,12-961,A simple machine like a screw will need,"{'text': array(['a glass of cool water', 'a person adjusting it',
       'a truck to move it', 'a wind turbine to function'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,a simple machine requires mechanical energy to function,1.0,1.6,b356d338b7
3196,12-962,"If sound is moving around in a room, the room is lacking in","{'text': array(['atmosphere', 'vacuum', 'oxygen', 'air'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,air is a vehicle for sound,0.8,1.4,b356d338b7
3197,12-963,"A windmill just uses the air around it, nothing unnatural. Because of this, everything they produce is","{'text': array(['unpolluted', 'candy', 'Grapes', 'dirty'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a windmill does not create pollution,0.8,1.6,bdb4135787
3198,12-964,If a plant is moved from a basement to a field,"{'text': array(['it will need darkness', 'it will be too dark',
       'it will receive nutriment', 'it will now suffocate'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,if something is outside during the day then that something will receive sunlight,0.8,1.6,b356d338b7
3199,12-965,Reproduction means a development of genes like,"{'text': array(['time travel', 'a personality', 'magical powers', 'hairline'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,living things can all reproduce,1.0,2.0,cee82219a0
3200,12-966,An electrical conductor is a vehicle for what?,"{'text': array(['people', 'water', 'sunlight', 'zapping energy'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,An electrical conductor is a vehicle for the flow of electricity,1.0,1.2,1e6dc77bb6
3201,12-967,During cellar respiration I might find myself with,"{'text': array(['candy', 'natural face water', 'magic', 'time travel powers'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,all cells perform cellular respiration,0.8,0.8,cee82219a0
3202,12-969,If a hog is going to eat dinner it can,"{'text': array(['produce fresh food', 'make a reservation', 'search for it',
       'make its own'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,a consumer can not produce its own food,1.0,2.0,b356d338b7
3203,12-972,Trees are mulched and liquefied before being dried to make,"{'text': array(['houses', 'paper', 'toothpicks', 'floors'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,creating paper requires cutting down trees,0.8,2.0,dc78319bb0
3204,12-975,What do cactuses do when the monsoons come to their habitat?,"{'text': array(['sell precipitation to someone else',
       'use precipitation right away',
       'store precipitation for future use',
       'give precipitation to their friends'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,a cactus stores water,0.8,1.8,0317ce7c33
3205,12-978,To prepare hamburgers and hot dogs for eating you need,"{'text': array(['glitter', 'a firepit', 'snowmen', 'arsenic'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,cooking food requires adding heat energy,1.0,2.0,7c933a44d8
3206,12-979,which one of these is false about the greenhouse effect?,"{'text': array(['it could cause polar melting', 'it causes green air in the sky',
       'it causes overall temperature rise', 'it heats up the atmosphere'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,the greenhouse effect is when carbon in the air heats a planet 's atmosphere,0.8,2.0,cf7109905e
3207,12-980,Which of these has resonating wood?,"{'text': array(['a lute', 'a bell', 'a metal flute', 'a saxophone'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,strumming a string can cause that string to vibrate,1.0,2.0,7c933a44d8
3208,12-981,All predators are also carnivorous because predators,"{'text': array(['murder other beings', 'Count stuff', 'cook veggies',
       'listen to music'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,carnivores are predators,1.0,2.0,bdb4135787
3209,12-982,What births live young?,"{'text': array(['a feathered animal with a beak', 'a tail having tree dweller',
       'a modern sport utility vehicle', 'a planet close to the sun'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,a monkey births live young,0.8,2.0,78e0a411ed
3210,12-983,A landslide may bring immense problems to,"{'text': array(['living regions', 'Jupiter', 'space', 'time travel'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a landslide is when gravity rapidly moves rocks or soil downhill especially after a rain storm,1.0,2.0,cee82219a0
3211,12-984,High areas can be visually represented by:,"{'text': array(['deep sea', 'mountains', 'valleys', 'basins'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,the Himalayas were formed by rock folding,1.0,2.0,52dbc5c7af
3212,12-986,Which of the following is most likely to occur?,"{'text': array(['rice grains absorb other rice grains',
       'humans absorb other humans',
       'Play-Doh absorbs other colors of Play-Doh',
       'sponges absorb other sponges'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,if something absorbs something else then that something will contain that something else,1.0,1.2,7b06152ffc
3213,12-987,The wheels of a skateboard spin around a,"{'text': array(['shaft', 'street', 'person', 'board'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a revolution is when something revolves around something else,0.8,2.0,dc78319bb0
3214,12-988,Adding salt to liquid decreases what?,"{'text': array(['light', 'energy', 'magnetism', 'thawing temp'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,adding salt to a liquid decreases the melting point of that liquid,0.8,1.4,1e6dc77bb6
3215,12-989,Which of the following reasons would an angler fish use a light?,"{'text': array(['attracting researchers', 'attracting humans',
       'attracting predators', 'attracting sardines'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,producing light is used for attracting prey by some deep sea animals,1.0,1.8,7b06152ffc
3216,12-991,A magnet would most likely stick to,"{'text': array(['a noodle', 'a chopstick', 'a girder', 'a plastic cup'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,carbon steel is always magnetic,1.0,1.8,7c933a44d8
3217,12-992,"If a thing is seen, then","{'text': array(['the pupil was studying', 'the pupil absorbed light',
       'light was put out', 'the pupil was gone'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,light enters the eye through the pupil,1.0,1.4,b356d338b7
3218,12-993,Burning wood was the only way to do what to your house back in the day?,"{'text': array(['make it tasty', 'make it rain', 'raise the temperature',
       'decrease the temperature'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,burning wood is used to produce heat,1.0,2.0,bdb4135787
3219,12-994,what is the proportionality of a rise in bacteria content and human health?,"{'text': array(['they are inversely proportional', 'they are in direct proportion',
       'they both cancel each other out', 'they lack a relationship'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,reducing bacteria in food prevents illness in people,0.8,1.2,cf7109905e
3220,12-996,A thing that is near a running wood stove will discover when touching the stove,"{'text': array(['that it is cool', 'that it is safe', 'that it is chilly',
       'that it will sear'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,if an object is exposed to a source of heat then that conductor may become hot,1.0,2.0,b356d338b7
3221,12-997,"If a thing creates sugars in a natural system, then it is likely a","{'text': array(['daffodil', 'wolf', 'rabbit', 'deer'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a producer is a source of sugar in an ecosystem,1.0,1.8,b356d338b7
3222,12-998,What activity is a part of the wheel of organic life?,"{'text': array(['having sex', 'black holes', 'nuclear meltdowns', 'supernova'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,reproduction is a stage in the life cycle process,1.0,2.0,7c933a44d8
3223,12-999,Turning a piece of paper into a ball is an example of,"{'text': array(['folding', 'flattening', 'squashing', 'restoring'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,crumple means change shape from smooth into compacted by physical force,1.0,2.0,dc78319bb0
3224,12-1000,An electron microscope can look at,"{'text': array(['my emotions', 'an elephant', 'a dog', 'my common cold'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,an electron microscope creates a picture,1.0,1.6,cee82219a0
3225,12-1001,deserts are known for having what type of climates?,"{'text': array(['scorching', 'comfortable', 'average temps', 'lush'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a desert environment usually has a lot of sunlight,1.0,2.0,52dbc5c7af
3226,12-1003,a lack of illumination would result in which of these?,"{'text': array(['the restroom overflowing with water',
       ""a principal's door being locked"",
       'a student unable to view what he is writing',
       'a teacher being unable to transport to school'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,eyes are used for seeing by animals by sensing light,1.0,2.0,cf7109905e
