Unnamed: 0,id,question_stem,choices,answerKey,fact1,humanScore,clarity,turkIdAnonymized
469,9-722,Lequel des éléments suivants pourrait amener plus de gens à vouloir porter des masques?,"{'text': array(['Une course cycliste avec des centaines de participants',
       ""l'utilisation de tondeuses électriques"",
       ""viande de hamburger contaminée de l'épicerie"",
       'un autobus qui utilise un produit pétrolier comme combustible'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,la combustion de l'essence est une source de pollution,0.8,1.4,3f32b550f3
470,1946,Le système squelettique,"{'text': array([""est constitué de tissus et d'organes"",
       'est composé des poumons et du cœur',
       'est constitué de globules blancs',
       'est constitué de matériau calcifié'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,le système squelettique est fait d'os,0.8,2.0,a8ecf6eaeb
471,9-592,Quelles sont les sources de fibres ?,"{'text': array(['eau', 'plante', 'roches', 'air'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,les plantes sont une source de fibres,1.0,2.0,1e6dc77bb6
472,9-558,La moelle épinière contient,"{'text': array(['cellules électriquement excitables', 'gaz neurotoxique',
       'impulsions biologiques', 'follicules pileux'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,les nerfs sont constitués de cellules nerveuses,1.0,1.8,7c933a44d8
473,9-396,"Les humains pleurent quand ils sont nés, les chevaux peuvent marcher quand ils sont nés, et les oiseaux peuvent chier quand ils sont nés à cause de","{'text': array(['TÉLÉVISION', 'apprendre de maman', 'comportement instinctif',
       'école'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,un animal sait faire des comportements instinctifs quand il est né,1.0,2.0,bdb4135787
474,9-767,"En réduisant les forêts tropicales, il est important de garder à l'esprit la qualité de l'air. Lorsque trop d'arbres sont abattus dans une zone donnée, il peut y avoir diminution de l'air","{'text': array(['qualité', 'dioxyde de carbone', 'hélium', 'dioyure de carbine'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,le dioxyde de carbone peut être trouvé dans l'air,0.8,1.6,b356d338b7
475,9-444,Lequel de ces articles a pu garder les choses fraîches grâce à la conversion électrique ?,"{'text': array(['tapis magique', 'route neigeuse', 'ampoule',
       'ventilateur de table'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,les dispositifs électriques convertissent l'électricité en autres formes d'énergie,1.0,2.0,0317ce7c33
476,63,Comment déterminer le climat d'un lieu?,"{'text': array(['regarder le temps de nombreux matins, après-midis et soirées en différentes saisons',
       'regardez les événements météorologiques les plus extrêmes',
       'regarder la météo à midi seulement', 'regarder la météo un jour'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,le climat est la météo habituelle dans un endroit,1.0,2.0,7189327f06
477,1000,Comment une femme compacte peut-elle être la meilleure aide si elle est perdue sur une montagne ?,"{'text': array([""Elle sera en mesure de réparer son apparence pour être plus susceptible de recevoir de l'aide"",
       'Elle peut utiliser le maquillage comme camouflage',
       ""elle peut utiliser le miroir pour signaler quelqu'un"",
       'Elle peut casser le miroir pour utiliser les pièces pour une arme'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,un miroir réfléchit la lumière,1.0,1.8,a9f90f5da1
478,9-134,Nous avons la respiration dans notre corps pour,"{'text': array(['traiter avec le gaz', 'Parle pendant des heures', 'Penser',
       'Courir'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,les êtres vivants ont besoin de respiration pour utiliser l'énergie,1.0,1.2,cee82219a0
479,7-335,De nombreux animaux sont entrés dans la ville à cause de,"{'text': array(['réchauffement climatique', 'bâtiments', 'rues chaudes',
       ""l'enregistrement""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,"si un habitat est détruit, alors cet habitat ne peut pas soutenir les animaux",1.0,0.8,7189327f06
480,634,Qu'est-ce qu'on appelle quand un écureuil est inanimé,"{'text': array(['décès', 'inertie', 'conclu', 'émanant'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,si une chose vivante meurt alors cette chose vivante est morte,0.8,2.0,a9f90f5da1
481,930,Que peut faire fondre les glaciers?,"{'text': array(['des tas de glaçons', 'tas de pingouins confus',
       'en tas de solides cristallins', 'tas de récifs coralliens'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,parfois des tas de roches sont formés par la fonte des glaciers déposant des roches,1.0,1.8,a8ecf6eaeb
482,383,Le pire endroit pour quitter un bar à bonbons est,"{'text': array(['réfrigérateur', 'placard', 'congélateur', 'soleil'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,la lumière du soleil produit de la chaleur,1.0,1.8,7189327f06
483,7-748,que peuvent faire ensemble le bicarbonate de soude et le vinaigre?,"{'text': array(['ils bouilliront', 'ils deviennent durs', 'une réaction combinée',
       'ils ne font rien'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,le bicarbonate de soude peut réagir chimiquement avec du vinaigre,1.0,1.8,cf7109905e
484,1681,Cardinaux,"{'text': array(['ont des naissances vivantes', 'ne mangent que de la viande',
       'incuber leurs aliments', 'incuber leurs jeunes'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,certains animaux adultes pondent des œufs,1.0,2.0,a8ecf6eaeb
485,722,Le charbon et l'huile directement retirés du sol sont,"{'text': array(['directement consommés', 'jetée', 'fabriqués en produits',
       'stocké sous terre'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,si quelque chose est une matière première dans un processus alors que quelque chose est nécessaire pour ce processus,0.8,1.4,7189327f06
486,7-1002,Les changements de la terre peuvent être effectués à la suite,"{'text': array(['haute température', 'temps doux', 'grosses tempêtes',
       'nuages neigeux'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,les événements naturels provoquent généralement des changements à la surface de la Terre,1.0,0.8,b356d338b7
487,8-286,l'ajout d'une flamme directe au contenant d'acide provoque,"{'text': array(['cycle dormant', 'beaucoup de rien', 'température inférieure',
       'expulsion de vapeur'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,ajouter de la chaleur à un objet provoque parfois des réactions chimiques,1.0,1.8,dc78319bb0
488,9-697,"Sur une période d'années en chaleur directe et en soleil, un grand bloc peut être","{'text': array(['congelés', 'catapultée', 'ravagé', 'pourriture'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,être exposé à la chaleur peut causer l'érosion des roches,1.0,1.4,b356d338b7
489,114,Les cerfs sont moins en sécurité dans les bois parce que les loups,"{'text': array(['ont de la fourrure', 'hurlement', 'avoir des griffes',
       'ont des queues'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,des griffes sont utilisées pour attraper des proies par certains prédateurs,1.0,1.2,7189327f06
490,7-576,Un exemple de machine simple nécessitant de l'énergie mécanique pour fonctionner serait,"{'text': array([""une lumière qui a besoin d'une manivelle pour être tournée"",
       'une radio qui a besoin de quatre batteries',
       'un ordinateur qui doit être branché',
       'un poêle qui fonctionne au gaz'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,une machine simple nécessite de l'énergie mécanique pour fonctionner,0.8,1.8,b356d338b7
491,9-939,"Les humains traversent plusieurs étapes de leur vie. D'abord, c'est l'enfance, la dernière est","{'text': array(['Étape 7', 'être un adulte', 'lycée', 'puberté'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,l'âge adulte est une étape du cycle de vie,1.0,2.0,bdb4135787
492,8-173,Quel genre de comportement a un modèle d'action fixe ?,"{'text': array(['politiques', 'migrations', 'préparation des aliments', 'shopping'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,la migration est un comportement instinctif,1.0,1.4,7189327f06
493,8-40,"Si quelque chose est une matière première dans un processus, alors quelque chose est","{'text': array(['dégradé pendant le processus', 'homme fait avant le processus',
       'un besoin pendant la production comme le travail et le capital',
       'utilisé uniquement dans la phase finale'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,si quelque chose est une matière première dans un processus alors que quelque chose est nécessaire pour ce processus,0.8,1.0,5ac34b743b
494,822,Thermomètres,"{'text': array([""peut vous dire si vous avez besoin d'un parapluie ce jour-là"",
       'peut vous dire quelle direction le vent souffle',
       ""peut vous aider à décider combien de couches de vêtements à porter à l'extérieur"",
       'peut vous dire combien de pluie est tombée'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,un thermomètre est utilisé pour mesurer la température,0.8,2.0,a8ecf6eaeb
495,9-467,"si une personne est incapable de supporter un temps froid, lequel de ceux-ci devrait être évité?","{'text': array(['les régions arctiques', 'tous ces', 'forêt tropicale humide',
       'la forêt de mangroves'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,l'environnement arctique est froid à la température d'être à une latitude nord inférieure à 0 degrés celsius pendant la majeure partie de l'année,1.0,2.0,cf7109905e
496,8-383,"J'ai une chemise trop petite, que puis-je faire pour conserver et réutiliser le tissu ?","{'text': array(['Marcher sur une piste avec elle',
       'Utilisez-le pour protéger mon corps des balles',
       'Faites un nouveau portefeuille', 'Suivez la météo avec elle'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,conservation des ressources a un impact positif sur l'environnement,0.8,1.6,cee82219a0
497,1652,Quel organisme utilise le xylème pour le transport des matériaux?,"{'text': array(['cactus saguaro', 'foie', 'algues vertes', 'sphaigne'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,xylème transporte des matériaux à travers l'usine,0.8,1.6,2d3609619d
498,9-818,Si je voulais empêcher une ampoule en courant je peux,"{'text': array([""couche d'usure"", 'Cours pieds nus', 'Marche à la place',
       'Porter des sandales'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"comme l'épaisseur d'un objet augmente, la résistance aux dommages de cet objet augmentera",0.8,1.6,cee82219a0
499,8-319,Que peut-on utiliser plus d'une fois?,"{'text': array(['charbon', 'bouteille de soude', 'gaz', 'huile'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,les ressources renouvelables peuvent être réutilisées,1.0,2.0,0317ce7c33
500,9-641,Les virus sont tués par des objets utilisés dans un,"{'text': array(['arrière-cour', 'salle de bain', 'cuisine', 'salon'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,ajouter de la chaleur à quelque chose tue les virus en cela quelque chose,0.8,0.0,7189327f06
501,7-590,Un exemple de météorisation est,"{'text': array(['sable', 'blocs tranchants', 'grands arbres', 'récifs coralliens'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,parfois des rafales,1.0,1.8,b356d338b7
502,1573,Combien de temps prend la Terre pour tourner une fois,"{'text': array(['28 heures', '46 heures', '14 heures minutes', '1440 minutes'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,une Rotation de la Terre sur elle-même prend un jour,1.0,1.8,a8ecf6eaeb
503,9-1184,Quelle est la source d'énergie pour les animaux?,"{'text': array(['roches', 'aliments en plastique', 'métal', 'nutriment'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,la nourriture est une source d'énergie pour les animaux,1.0,2.0,1e6dc77bb6
504,7-76,"Si un cerf est incapable de manger régulièrement, ou seulement ce qui manque de minéraux essentiels, le cerf peut","{'text': array(['trouver des aliments sains', ""l'expérience en matière de santé"",
       'non gestuelle', ""préparation à l'accouplement""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,un animal nécessite suffisamment de nutriments pour maintenir une bonne santé,0.8,1.6,b356d338b7
505,9-721,Ce que l'unité de mesure des États-Unis serait le plus comparable à un bâton de mesure,"{'text': array(['Marqueur Mile', 'règle', 'Mesureur de bande', 'Jupe'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,un bâton de compteur est utilisé pour mesurer la longueur,0.8,1.8,063988c9fc
506,9-98,"Les Coyotes remarquent que leur territoire commence à être de plus en plus sec. Cela signifie que pour bien hydrater, les coyotes devront","{'text': array([""atténuer l'eau"", 'hydrater leur fourrure',
       'migrer pour la sécheresse', 'migrer pour le fluide'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,"à mesure que la sécheresse augmente dans un environnement, l'eau disponible dans cet environnement diminuera",1.0,2.0,b356d338b7
507,8-377,Lampes de poche,"{'text': array([""illuminer l'âge d'une personne"",
       'besoin de télécommandes pour fonctionner correctement',
       'rendre plus facile de repérer les jouets de chat sous le canapé',
       'faciliter la recherche de mots'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,une lampe de poche émet de la lumière,0.8,1.8,a8ecf6eaeb
508,12,"Quand un baseball est frappé avec une batte, les particules de balle font quoi ?","{'text': array(['Voler', 'Vibrats', 'Parle', 'Rouleaux'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,frapper un objet fait vibrer les particules de cet objet,0.8,1.2,6dc1e4d0a3
509,7-110,"Quand c'est en train de dorer dehors, c'est parce que les précipitations","{'text': array(['fondu', 'évaporé', 'solidifié', 'pluie'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,sleet est fait de glace,1.0,1.8,b356d338b7
510,8-174,"J'ai laissé une statue dehors loin de l'eau pendant 100 ans, quand je reviens, c'est beaucoup plus petit, pourquoi ?","{'text': array(['Le vent', 'Oiseaux', 'Petits trolls', 'Fourmis'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,le vent provoque l'érosion,1.0,1.8,cee82219a0
511,7-1025,L'essence est incapable d'exister sans l'ajout de matières premières telles que,"{'text': array(['matières fossilisées', 'sable', 'eau', 'air'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,l'huile est une source d'essence,1.0,1.2,b356d338b7
512,1768,Un habitat détruit peut mener à,"{'text': array(['ratons laveurs perdant leur maison', 'oiseaux migrateurs au nord',
       'un boom dans la reproduction animale',
       'hibernation des ours locaux'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"si un habitat est détruit, alors cet habitat ne peut pas soutenir les animaux",1.0,1.2,a8ecf6eaeb
513,9-400,Quel est un exemple de ruissellement?,"{'text': array(['Une ferme irriguée', ""De l'eau d'une ferme au lac Huron"",
       ""L'eau de pluie s'infiltre dans le sol"",
       ""L'eau se condensant pour former la rosée""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,le ruissellement est lorsque l'eau des terres cultivées pénètre dans les plans d'eau,0.8,1.6,8cb5b0688e
514,299,La tourbe est faite par la végétation en décomposition compactée par le sol dans un,"{'text': array(['marais ou marais non cultivés',
       ""rivière qui coule avec l'eau douce"",
       ""océan d'eau salée géographiquement séparé"",
       'lac entouré de terre avec un bassin'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,la tourbe est faite de végétation en décomposition compactée par le sol dans un marécage sur une longue période de temps,0.8,1.4,bbd7276e72
515,8-476,"Un mineur cherche des pierres et des roches qui peuvent être utilisées à d'autres fins que la construction. Il veut être capable de trouver et de traiter quelque chose d'utile, donc il cherche des pierres avec","{'text': array(['aluminium', 'sable', 'roxys', 'perle'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,les roches contiennent parfois de l'aluminium,0.8,1.8,b356d338b7
516,1655,Un baromètre plus élevé signifie,"{'text': array([""baisse de la pression atmosphérique dans l'atmosphère"",
       ""une atmosphère dépourvue de pression d'air"",
       ""augmentation de la pression atmosphérique dans l'atmosphère"",
       'que le baromètre est cassé'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"à mesure que la pression de l'air augmente, la lecture sur un baromètre augmentera",1.0,2.0,a8ecf6eaeb
517,7-813,Une caméra peut prendre une image et,"{'text': array(['préserver', 'modifier', 'verrouillez-le', 'produire'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,une caméra est utilisée pour enregistrer des images,0.8,1.2,b356d338b7
518,1030,Passer moins de temps sous la douche,"{'text': array([""épuise une grande quantité de réserves d'eau"",
       ""est mauvais pour l'environnement"", ""utilise plus d'eau"",
       'conduit à plus de réserves dans le chauffe-eau'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,"comme le temps passé à prendre une douche diminue, l'eau utilisée diminuera",1.0,2.0,a8ecf6eaeb
519,7-703,Les parcs nationaux ont des règles,"{'text': array(['qui réduisent la croissance des espèces animales fragiles',
       ""qui ouvrent les parcs à l'exploitation minière des ressources naturelles"",
       'qui permettent la litière',
       'qui protègent les animaux vulnérables'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,les parcs nationaux limitent la chasse,1.0,1.8,a8ecf6eaeb
520,45,A,"{'text': array(['les cellules bactériennes doivent remplir toutes les fonctions vitales',
       'cellules pulmonaires', 'cellule florale', 'cellule arrière'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,si une cellule ne peut se spécialiser alors cette cellule doit accomplir toutes les fonctions de la vie,0.8,0.6,7189327f06
521,9-236,"Une brise souffle à travers un champ, de plus en plus fort. La brise devient une tempête de vent, des rochers en mouvement et des arbres brisés. Ce vent est probablement la cause de","{'text': array(['espaces uniformément chauffés', 'chaleur inégalement répartie',
       'espaces terrestres chauffés', ""chauffages d'espace""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,chauffage inégal cause convection,0.8,1.8,b356d338b7
522,853,Combien de fois par 365.3 jours se produit un équinoxe?,"{'text': array(['3', '1', '2', '4'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,un équinoxe se produit deux fois par an,0.8,2.0,64d9056837
523,731,Que se passe-t-il lorsque la température de l'hexane dépasse 70 degrés celsius ?,"{'text': array(['Il fond', 'il sublime', 'il fait bouillir', 'Il gèle'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,ébullition lorsque les liquides sont chauffés au-dessus de leur point d'ébullition,0.8,1.8,64d9056837
524,8-21,Laquelle des cultures suivantes a été le premier aliment de base de l'alimentation humaine?,"{'text': array(['blé', 'orge', 'maïs', 'riz'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,les humains mangent des cultures,0.8,1.0,597e8fde0e
525,7-822,Un exemple de la façon dont le soleil est une source de lumière du soleil est,"{'text': array(['temps variable', 'augmentation de la température',
       ""éoliennes produisant de l'énergie"", 'grenouilles croquant'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,le soleil est une source de lumière appelée soleil,1.0,1.2,b356d338b7
526,1669,La quantité d'eau dans l'océan par rapport à il y a cinquante ans est,"{'text': array(['fluctuant', 'plus grande', 'plus petite', 'la même'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"à mesure que la quantité d'eau dans un plan d'eau augmente, les niveaux d'eau augmenteront",0.8,1.6,7189327f06
527,9-261,"La chaleur du soleil, les vagues s'écrasent, et d'énormes tempêtes gémissent sur un gros rocher à la rive. Après quelques centaines d'années, où se trouvait le rocher","{'text': array(['terre', 'arbres', 'maïs', 'chats'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,le sol se forme par érosion des roches,1.0,2.0,b356d338b7
528,9-913,Quel genre d'insectes pond des œufs au stade adulte de son cycle vital?,"{'text': array(['Tous', 'grandes', 'reine', 'Hommes'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,un insecte femelle pond des œufs au stade adulte du cycle de vie d'un insecte,1.0,1.2,1e6dc77bb6
529,8-285,Les aigles mangent,"{'text': array(['faucons', 'insectes volants', 'végétaux et céréales',
       'petits mammifères terriers'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,les aigles mangent des lapins,0.8,1.4,5ac34b743b
530,7-178,ce qui caractérise un cycle,"{'text': array(['une récidive régulière', 'aucune de ces', 'un motif stagnant',
       'une forme de cercle'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,un cycle se produit à plusieurs reprises,1.0,1.4,cf7109905e
531,1466,La matière organique dans le sol peut être augmentée,"{'text': array(['creuser des fleurs du sol', 'pulvériser leur odeur sur le sol',
       ""le corps mort d'une souris se cassant"",
       'animaux mangeant des cultures plantées dans le sol'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,la décomposition augmente la quantité de matière organique dans le sol,1.0,2.0,a8ecf6eaeb
532,1118,Pour attirer les oiseaux dans votre cour,"{'text': array(['ériger un grand épouvantail menaçant',
       'détruisez toutes vos fleurs',
       'couper tous les arbres grands et petits',
       'mettre les graines dans un plat facilement accessible'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,les nourrisseurs attirent les animaux vers un endroit,0.8,2.0,a8ecf6eaeb
533,7-622,Si un chaton est incapable d'allaiter dès la naissance,"{'text': array(['il va pleurer', 'il expirera', 'il dormira', 'il vomira'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,le manque de nourriture cause la famine,1.0,2.0,b356d338b7
534,7-778,Trois cent soixante cinq tours de la terre est,"{'text': array([""le double d'une demi-année civile"", 'très longtemps',
       ""près de la moitié d'une vie"", 'plus de deux ans'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,un an est égal à 365 jours,1.0,1.2,b356d338b7
535,7-70,En quoi l'air est-il essentiel pour les animaux?,"{'text': array(['il est facultatif', 'il est nécessaire', ""c'est inutile"",
       'il est inconnu'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,un animal a besoin d'air pour survivre,0.8,2.0,cf7109905e
536,7-659,Couper un papier en deux,"{'text': array(['modifie la forme du papier', 'laisse le papier inchangé',
       'agrandit le morceau de papier',
       'fait le papier dans sa forme gazeuse'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,déchirer un objet change sa forme,1.0,2.0,a8ecf6eaeb
537,8-132,La respiration est lorsque les poumons convertissent l'oxygène de l'air inhalé en,"{'text': array([""oxygène dispersé des bronchioles respiratoires dans les sacs d'air aux protéines d'hémoglobine"",
       'Particules de glucose dans le sang', ""oxyde d'azote dans le sang"",
       'monoxyde de carbone dans le sang'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,respiration est quand un poumon convertit de l'oxygène dans l'air en oxygène dans le sang,1.0,2.0,5ac34b743b
538,9-892,les pluies gelées qui tombent laissent l'hémisphère nord un tapis,"{'text': array(['gris', 'jaune', 'blanc', 'blanc cassé'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,les environnements froids sont généralement de couleur blanche d'être recouverts de neige,1.0,1.4,dc78319bb0
539,1218,Tsunamis,"{'text': array([""ont peu d'impact sur l'environnement"",
       'peut être facilement arrêté',
       'peuvent réorganiser les rives côtières',
       'peut encourager la croissance économique'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,les événements naturels provoquent généralement des changements à la surface de la Terre,1.0,2.0,a8ecf6eaeb
540,9-654,Un exemple de mélange est,"{'text': array(['lumière', 'une molécule', 'terre cuite', 'or'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,Un exemple de mélange est l'argile mélangée,1.0,1.4,78e0a411ed
541,9-1124,les feux de forêt se produisent lorsque,"{'text': array(['être environnemental est considéré comme chaud',
       ""quelqu'un fume près d'une forêt"",
       ""les zones d'arbres condensés sont en feu"",
       'les arbres sont semblables au feu'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,feu de forêt est quand une forêt prend feu,0.8,1.2,0d935542d3
542,751,Laquelle des catégories suivantes a une population de zéro?,"{'text': array(['Le wapiti de Merriam', 'bison', 'lama', 'grue blanche'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"si une population diminue à zéro, alors cet organisme est éteint",0.8,1.4,64d9056837
543,8-178,"La Terre tourne autour et autour, et pour terminer un cycle de cette rotation","{'text': array(['deux jours doivent passer', 'une semaine doit passer',
       'la Terre doit ralentir', ""un septième d'une semaine doit passer""],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,a Rotation de la Terre sur l ' axe de la Terre prend 1 jour,1.0,2.0,b356d338b7
544,8-472,Quand je joue du violon les cordes et crée le son à travers,"{'text': array(['Un nouveau mot', 'Un tremblement', 'Stylos', 'Sueur'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,piqué une chaîne peut faire vibrer cette chaîne,0.8,1.0,cee82219a0
545,1962,Mesurer est un moyen de recueillir des données; quel en est l'exemple?,"{'text': array([""verser de l'eau dans une cruche de gallon pour économiser plus tard"",
       'verser du lait dans une demi-tasse pour voir combien il reste',
       ""s'assurer qu'une couverture est assez chaude pour la nuit"",
       ""voir combien de temps dure la queue d'un chat""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,Un exemple de collecte de données est la mesure,0.8,1.6,b356d338b7
546,9-405,Quel impact les habitudes animales changent - elles chez les humains?,"{'text': array(['inimical', 'honteux', 'positif', 'heureux'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,les humains qui changent d'habitat animal causent généralement des dommages à ces animaux,1.0,1.6,1e6dc77bb6
547,7-663,Dans une décennie le printemps se produit,"{'text': array(['trois fois', 'douze fois', 'dix fois', 'deux fois'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,chaque saison se produit une fois par an,1.0,2.0,7189327f06
548,7-1179,Certains animaux sont logés,"{'text': array(['dans les expositions publiques à visionner',
       'dans des boîtes de stockage', 'en barils pour le voyage',
       'dans des tentes pour dormir'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,certains animaux vivent dans des expositions zoologiques,1.0,2.0,b356d338b7
549,9-829,Être plus fort a quel impact sur la santé des créatures?,"{'text': array(['mauvais impact', 'complications imprévues', 'effet minimal',
       'bonne influence'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,être plus fort a généralement un impact positif sur la santé d'un être vivant,1.0,1.8,1e6dc77bb6
550,712,Conduction thermique,"{'text': array(['température ambiante eau assise sur un comptoir',
       ""les pattes d'un chien touchant la chaussée brûlée d'été"",
       'parties de gâteaux empilées dans un four',
       'glace touchant la glace dans un congélateur'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"lorsqu'un objet plus frais touche un objet plus chaud, la conduction thermique se produit",0.8,1.2,a8ecf6eaeb
551,1428,De nouvelles plantes sont apparues partout où les graines ont été prises par,"{'text': array(['brises fraîches', 'magie', 'chance', 'démons'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,plante nécessite la dispersion des graines pour la reproduction,1.0,2.0,0317ce7c33
552,7-337,Le recyclage se produit,"{'text': array(['lorsque le charbon est transformé en énergie thermique',
       'lorsque les combustibles fossiles sont utilisés par les voitures',
       'quand les plaques de mousse de styro sont transformées en poubelles',
       'quand les vieilles bouteilles Pepsi sont transformées en t-shirts'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,Un exemple de recyclage est l'utilisation d'un objet pour créer un nouvel objet,1.0,2.0,a8ecf6eaeb
